Number,Rebook Rating,Overall City Value,Overall Meeting Value,Ease of Business,Cleanliness,Entertainment / Attractions,Shopping,Overall Attendance,International Attendance
282,1.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0
283,0.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0
284,0.0,4.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0
287,0.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0
289,1.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0
290,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
291,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
292,0.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0
294,1.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0
295,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0
296,1.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0
298,0.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0
299,1.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0
302,1.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0
304,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0
305,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0
307,1.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0
313,0.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0
314,0.0,4.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0
319,1.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0
321,0.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0
322,0.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0
323,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0
326,1.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0
327,0.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0
328,0.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,3.0
330,1.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0
333,1.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0
339,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
341,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
342,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
343,1.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0
345,0.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0
346,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0
347,1.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0
349,1.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0
350,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
351,1.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0
352,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0
353,0.0,3.0,4.0,5.0,3.0,5.0,5.0,2.0,1.0
354,0.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0
356,1.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0
357,0.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0
359,1.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0
360,1.0,4.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0
365,0.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0
366,0.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0
368,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0
370,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0
372,1.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0
374,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0
378,1.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0
379,1.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0
380,1.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0
383,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
385,1.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0
386,1.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0
387,1.0,4.0,3.0,4.0,2.0,5.0,4.0,2.0,3.0
388,1.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0
389,1.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0
391,1.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,2.0
392,0.0,5.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0
393,0.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0
398,1.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,2.0
400,1.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0
402,0.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
407,0.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0,1.0
410,1.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0
411,1.0,4.0,3.0,5.0,3.0,4.0,4.0,2.0,2.0
412,1.0,5.0,5.0,5.0,4.0,3.0,2.0,4.0,4.0
413,1.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,2.0
414,1.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0
415,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
419,0.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0
420,1.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0
421,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0
427,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
429,0.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0
431,0.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0
437,1.0,5.0,5.0,5.0,3.0,4.0,3.0,2.0,2.0
440,1.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0
443,0.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,4.0
444,0.0,3.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0
446,1.0,5.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0
447,1.0,3.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0
449,1.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0
451,1.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0
